pfam05954	PhageRegulation
pfam09669	PhageRegulation
pfam01381	PhageRegulation
pfam07409	PhageOther
pfam05840	PhageOther
pfam09681	PhageOther
pfam05435	PhageOther
pfam05565	PhageOther
pfam08706	PhageOther
pfam09039	PhageOther
pfam06854	PhageOther
pfam05973	PhageOther
pfam07505	PhageOther
pfam08010	PhageOther
pfam08890	PhageOther
pfam09355	PhageOther
pfam09524	PhageOther
pfam10123	PhageOther
pfam12363	PhageOther
pfam04883	PhageOther
pfam05895	PhageOther
pfam00242	PhageOther
pfam06199	PhageTail
pfam05069	PhageTail
pfam04984	PhageTail
pfam10145	PhageTail
pfam06841	PhageTail
pfam04985	PhageTail
pfam05489	PhageTail
pfam03406	PhageTail
pfam03906	PhageTail
pfam03903	PhageTail
pfam05100	PhageTail
pfam08813	PhageTail
pfam05709	PhageTail
pfam09684	PhageTail
pfam10618	PhageTail
pfam00877	PhageTail
pfam06995	PhageTail
pfam10665	PhageTail
pfam03864	PhageCapsid
pfam02305	PhageCapsid
pfam05065	PhageCapsid
pfam06152	PhageCapsid
pfam11133	PhageCapsid
pfam11114	PhageCapsid
pfam10124	PhageCapsid
pfam04233	PhageCapsid
pfam05133	PhagePortal
pfam04860	PhagePortal
pfam05136	PhagePortal
pfam05521	PhagePortal
pfam12236	PhagePortal
pfam05352	PhagePortal
pfam07484	PhagePortal
pfam06890	PhageBaseplate
pfam04717	PhageBaseplate
pfam04865	PhageBaseplate
pfam06810	PhageOtherStructural
pfam09675	PhageOtherStructural
pfam00589	PhageIntegrase
pfam02899	PhageIntegrase
pfam04531	PhageHolin
pfam05105	PhageHolin
pfam09682	PhageHolin
pfam07022	PhageRepressor
pfam03374	PhageAntiRepressor
pfam10668	PhageTerminase
pfam03237	PhageTerminase
pfam03354	PhageTerminase
pfam03592	PhageTerminase
pfam04466	PhageTerminase
pfam05876	PhageTerminase
pfam06056	PhageTerminase
pfam06791	PhageTerminase
pfam07471	PhageDNAPackaging
pfam09718	PhageDNAPackaging
pfam05135	PhageDNAPackaging
pfam05894	PhageDNAPackaging
pfam07352	PhageDNAPackaging
pfam05441	PhageDNAPackaging
pfam02914	Transposase
pfam01385	Transposase
pfam07282	Transposase
pfam01527	Transposase
pfam01609	Transposase
pfam01610	Transposase
pfam02371	Transposase
pfam01548	Transposase
pfam03050	Transposase
pfam00872	Transposase
pfam05598	Transposase
pfam10551	Transposase
pfam09299	Transposase
pfam12323	Transposase
pfam01695	Transposase
pfam00239	Resolvase
pfam00521	Topoisomerase
pfam01131	Topoisomerase
pfam01028	Topoisomerase
pfam09770	Topoisomerase
pfam09588	Recombinase
pfam00154	Recombinase
pfam07508	Recombinase
pfam03838	Recombinase
pfam01076	Recombinase
pfam01870	Recombinase
pfam02075	Recombinase
pfam05766	Recombinase
pfam01510	Amidase
pfam01520	Amidase
pfam05382	Amidase
pfam00717	Peptidase
pfam08291	Peptidase
pfam04586	Peptidase
pfam05951	Peptidase
pfam01343	Peptidase
pfam08496	Peptidase
pfam10463	Peptidase
pfam10459	Peptidase
pfam01551	Peptidase
pfam00112	Peptidase
pfam03575	Peptidase
pfam01434	Peptidase
pfam07722	Peptidase
pfam02163	Peptidase
pfam05579	Peptidase
pfam00768	Peptidase
pfam00326	Peptidase
pfam05838	Lysozyme
pfam01476	Lysozyme
pfam01832	Lysozyme
pfam01464	Lysozyme
pfam01471	Lysozyme
pfam01464	Lysozyme
pfam08230	Lysozyme
pfam04965	Lysozyme
pfam08282	Hydrolase
pfam07486	Hydrolase
pfam00702	Hydrolase
pfam00145	Restriction-Modification
pfam05869	Restriction-Modification
pfam12047	Restriction-Modification
pfam08241	Restriction-Modification
pfam08242	Restriction-Modification
pfam02086	Restriction-Modification
pfam02384	Restriction-Modification
pfam05441	Restriction-Modification
pfam07352	Restriction-Modification
pfam04471	RestrictionEnzyme
pfam01844	RestrictionEnzyme
pfam00929	RestrictionEnzyme
pfam02195	RestrictionEnzyme
pfam08722	RestrictionEnzyme
pfam05866	RestrictionEnzyme
pfam09569	RestrictionEnzyme
pfam09571	RestrictionEnzyme
pfam07669	RestrictionEnzyme
pfam04851	RestrictionEnzyme
pfam06616	RestrictionEnzyme
pfam01183	RestrictionEnzyme
pfam01555	RestrictionEnzyme
pfam08774	RestrictionEnzyme
pfam00665	EukaryoticVirus
pfam00910	EukaryoticVirus
pfam05955	EukaryoticVirus
pfam01601	EukaryoticVirus
pfam00606	EukaryoticVirus
pfam02689	EukaryoticVirus
pfam05109	EukaryoticVirus
pfam07415	EukaryoticVirus
pfam05297	EukaryoticVirus
pfam02956	EukaryoticVirus
pfam04395	EukaryoticVirus
