1	cd00079
1	COG4646
1	COG4646
1	pfam13659
1	TIGR02680
1	TIGR02794
1	PHA02533
1	TIGR02169
1	cl00213
1	cl21455
1	cl00446
1	cd01646
1	TIGR04416
1	pfam14902
1	pfam14297
1	cl17173
1	cd01713
1	pfam13401
1	PRK08116
2	TIGR01760
2	cl00711
2	cl00083
2	pfam12706
2	cl04285
2	pfam07083
2	cl00160
2	COG1044
2	cd06529
2	cd00093
2	cd01189
2	pfam14659
2	cd00093
2	cd02696
2	pfam10543
2	cl19379
2	cl17486
2	pfam05065
2	TIGR01554
2	pfam14265
2	TIGR01641
2	COG5585
2	TIGR01538
2	cl12054
3	pfam13529
3	pfam01391
3	pfam01391
3	PHA03169
3	PRK10811
3	pfam13884
3	TIGR02169
3	COG5412
3	TIGR01641
3	cl00173
3	cl19531
3	TIGR01547
3	pfam03237
3	cl22427
3	TIGR02168
3	pfam14284
3	cd06127
3	cd01189
3	TIGR02224
4	cl18945
4	cd01189
4	pfam14659
4	COG0582
4	cd06583
4	pfam12684
4	TIGR01547
4	pfam03237
4	TIGR01542
4	cl10072
4	cl00173
4	pfam10145
4	COG5280
5	pfam02511
5	smart00487
5	cl10023
5	TIGR01613
5	pfam00589
5	pfam13495
5	COG4974
6	pfam03237
6	cl19531
6	TIGR01613
6	cl19107
6	COG1690
6	pfam01139
6	cl18962
6	pfam04055
6	cd01713
6	pfam09674
6	COG0270
6	cl04285
6	pfam13830
6	pfam04383
6	pfam03374
6	cl02808
6	TIGR04416
7	pfam05876
7	cl01817
7	cl01294
7	pfam05136
7	cd07016
7	pfam03864
7	cl01389
7	TIGR01760
7	COG5412
7	cd00118
7	cl15796
7	cd01651
7	pfam00078
7	cd06414
7	pfam08230
7	pfam08230
7	cl07020
7	pfam01183
8	cl00213
8	cl01513
8	pfam13384
8	cl12560
8	cd00046
8	cd00079
8	COG0553
8	pfam05272
8	cl02626
8	cl02626
8	pfam10991
8	cl00641
8	pfam13751
8	pfam05598
8	COG3666
8	pfam01609
8	cd02696
8	pfam08239
8	TIGR04211
8	TIGR01547
8	pfam03237
8	TIGR01542
8	cl10072
8	cl00173
9	TIGR02675
9	cl01521
9	cl21556
9	TIGR01537
9	cl19862
9	COG4626
9	pfam13884
10	COG0338
10	cl10072
10	pfam13401
10	pfam12844
10	pfam13240
10	COG5412
10	TIGR01542
10	cd06414
